Region,Codigo region,Poblacion,fecha,numero
Los Rios,14,405835,2020-07-21,149
Los Lagos,10,891440,2020-07-21,906
Aysen,11,107297,2020-07-21,12
Magallanes,12,178362,2020-07-21,218
Arica y Parinacota,15,252110,2020-07-22,249
Tarapaca,01,382773,2020-07-22,374
Antofagasta,02,691854,2020-07-22,606
Atacama,03,314709,2020-07-22,407
Coquimbo,04,836096,2020-07-22,265
Valparaiso,05,1960170,2020-07-22,916
Metropolitana,13,8125072,2020-07-22,5588
OHiggins,06,991063,2020-07-22,487
Maule,07,1131939,2020-07-22,543
Nuble,16,511551,2020-07-22,275
Biobio,08,1663696,2020-07-22,1147
Araucania,09,1014343,2020-07-22,417
Los Rios,14,405835,2020-07-22,257
Los Lagos,10,891440,2020-07-22,931
Aysen,11,107297,2020-07-22,107
Magallanes,12,178362,2020-07-22,224
Arica y Parinacota,15,252110,2020-07-23,396
Tarapaca,01,382773,2020-07-23,369
Antofagasta,02,691854,2020-07-23,602
Atacama,03,314709,2020-07-23,404
Coquimbo,04,836096,2020-07-23,547
Valparaiso,05,1960170,2020-07-23,996
Metropolitana,13,8125072,2020-07-23,8695
OHiggins,06,991063,2020-07-23,612
Maule,07,1131939,2020-07-23,834
Nuble,16,511551,2020-07-23,463
Biobio,08,1663696,2020-07-23,1776
Araucania,09,1014343,2020-07-23,497
Los Rios,14,405835,2020-07-23,338
Los Lagos,10,891440,2020-07-23,2031
Aysen,11,107297,2020-07-23,119
Magallanes,12,178362,2020-07-23,188
Arica y Parinacota,15,252110,2020-07-24,414
Tarapaca,01,382773,2020-07-24,732
Antofagasta,02,691854,2020-07-24,732
Atacama,03,314709,2020-07-24,328
Coquimbo,04,836096,2020-07-24,636
Valparaiso,05,1960170,2020-07-24,960
Metropolitana,13,8125072,2020-07-24,9839
OHiggins,06,991063,2020-07-24,815
Maule,07,1131939,2020-07-24,966
Nuble,16,511551,2020-07-24,413
Biobio,08,1663696,2020-07-24,2101
Araucania,09,1014343,2020-07-24,663
Los Rios,14,405835,2020-07-24,293
Los Lagos,10,891440,2020-07-24,1967
Aysen,11,107297,2020-07-24,117
Magallanes,12,178362,2020-07-24,95
Arica y Parinacota,15,252110,2020-07-25,377
Tarapaca,01,382773,2020-07-25,277
Antofagasta,02,691854,2020-07-25,589
Atacama,03,314709,2020-07-25,625
Coquimbo,04,836096,2020-07-25,639
Valparaiso,05,1960170,2020-07-25,1144
Metropolitana,13,8125072,2020-07-25,8543
OHiggins,06,991063,2020-07-25,638
Maule,07,1131939,2020-07-25,1126
Nuble,16,511551,2020-07-25,298
Biobio,08,1663696,2020-07-25,1812
Araucania,09,1014343,2020-07-25,646
Los Rios,14,405835,2020-07-25,196
Los Lagos,10,891440,2020-07-25,2026
Aysen,11,107297,2020-07-25,136
Magallanes,12,178362,2020-07-25,61
Arica y Parinacota,15,252110,2020-07-26,343
Tarapaca,01,382773,2020-07-26,429
Antofagasta,02,691854,2020-07-26,763
Atacama,03,314709,2020-07-26,517
Coquimbo,04,836096,2020-07-26,545
Valparaiso,05,1960170,2020-07-26,980
Metropolitana,13,8125072,2020-07-26,8220
OHiggins,06,991063,2020-07-26,846
Maule,07,1131939,2020-07-26,987
Nuble,16,511551,2020-07-26,420
Biobio,08,1663696,2020-07-26,2034
Araucania,09,1014343,2020-07-26,403
Los Rios,14,405835,2020-07-26,259
Los Lagos,10,891440,2020-07-26,2421
Aysen,11,107297,2020-07-26,118
Magallanes,12,178362,2020-07-26,424
Arica y Parinacota,15,252110,2020-07-27,246
Tarapaca,01,382773,2020-07-27,792
Antofagasta,02,691854,2020-07-27,771
Atacama,03,314709,2020-07-27,13
Coquimbo,04,836096,2020-07-27,598
Valparaiso,05,1960170,2020-07-27,964
Metropolitana,13,8125072,2020-07-27,10138
OHiggins,06,991063,2020-07-27,589
Maule,07,1131939,2020-07-27,1276
Nuble,16,511551,2020-07-27,887
Biobio,08,1663696,2020-07-27,1923
Araucania,09,1014343,2020-07-27,1022
Los Rios,14,405835,2020-07-27,235
Los Lagos,10,891440,2020-07-27,1604
Aysen,11,107297,2020-07-27,80
Magallanes,12,178362,2020-07-27,406
Arica y Parinacota,15,252110,2020-07-28,436
Tarapaca,01,382773,2020-07-28,1358
Antofagasta,02,691854,2020-07-28,763
Atacama,03,314709,2020-07-28,1101
Coquimbo,04,836096,2020-07-28,530
Valparaiso,05,1960170,2020-07-28,967
Metropolitana,13,8125072,2020-07-28,7421
OHiggins,06,991063,2020-07-28,382
Maule,07,1131939,2020-07-28,702
Nuble,16,511551,2020-07-28,342
Biobio,08,1663696,2020-07-28,1225
Araucania,09,1014343,2020-07-28,837
Los Rios,14,405835,2020-07-28,215
Los Lagos,10,891440,2020-07-28,1081
Aysen,11,107297,2020-07-28,19
Magallanes,12,178362,2020-07-28,217
Arica y Parinacota,15,252110,2020-07-29,365
Tarapaca,01,382773,2020-07-29,468
Antofagasta,02,691854,2020-07-29,863
Atacama,03,314709,2020-07-29,382
Coquimbo,04,836096,2020-07-29,661
Valparaiso,05,1960170,2020-07-29,753
Metropolitana,13,8125072,2020-07-29,6998
OHiggins,06,991063,2020-07-29,650
Maule,07,1131939,2020-07-29,1103
Nuble,16,511551,2020-07-29,378
Biobio,08,1663696,2020-07-29,1397
Araucania,09,1014343,2020-07-29,781
Los Rios,14,405835,2020-07-29,202
Los Lagos,10,891440,2020-07-29,1898
Aysen,11,107297,2020-07-29,154
Magallanes,12,178362,2020-07-29,77
Arica y Parinacota,15,252110,2020-07-30,385
Tarapaca,01,382773,2020-07-30,604
Antofagasta,02,691854,2020-07-30,752
Atacama,03,314709,2020-07-30,1000
Coquimbo,04,836096,2020-07-30,672
Valparaiso,05,1960170,2020-07-30,1463
Metropolitana,13,8125072,2020-07-30,6724
OHiggins,06,991063,2020-07-30,1251
Maule,07,1131939,2020-07-30,1296
Nuble,16,511551,2020-07-30,539
Biobio,08,1663696,2020-07-30,2099
Araucania,09,1014343,2020-07-30,592
Los Rios,14,405835,2020-07-30,325
Los Lagos,10,891440,2020-07-30,2121
Aysen,11,107297,2020-07-30,155
Magallanes,12,178362,2020-07-30,317
Arica y Parinacota,15,252110,2020-07-31,396
Tarapaca,01,382773,2020-07-31,390
Antofagasta,02,691854,2020-07-31,856
Atacama,03,314709,2020-07-31,660
Coquimbo,04,836096,2020-07-31,771
Valparaiso,05,1960170,2020-07-31,1337
Metropolitana,13,8125072,2020-07-31,9338
OHiggins,06,991063,2020-07-31,819
Maule,07,1131939,2020-07-31,1435
Nuble,16,511551,2020-07-31,468
Biobio,08,1663696,2020-07-31,2203
Araucania,09,1014343,2020-07-31,802
Los Rios,14,405835,2020-07-31,275
Los Lagos,10,891440,2020-07-31,2609
Aysen,11,107297,2020-07-31,96
Magallanes,12,178362,2020-07-31,419
Arica y Parinacota,15,252110,2020-08-01,438
Tarapaca,01,382773,2020-08-01,584
Antofagasta,02,691854,2020-08-01,826
Atacama,03,314709,2020-08-01,655
Coquimbo,04,836096,2020-08-01,856
Valparaiso,05,1960170,2020-08-01,1787
Metropolitana,13,8125072,2020-08-01,9440
OHiggins,06,991063,2020-08-01,774
Maule,07,1131939,2020-08-01,1267
Nuble,16,511551,2020-08-01,658
Biobio,08,1663696,2020-08-01,2378
Araucania,09,1014343,2020-08-01,800
Los Rios,14,405835,2020-08-01,270
Los Lagos,10,891440,2020-08-01,3089
Aysen,11,107297,2020-08-01,109
Magallanes,12,178362,2020-08-01,467
Arica y Parinacota,15,252110,2020-08-02,441
Tarapaca,01,382773,2020-08-02,588
Antofagasta,02,691854,2020-08-02,1113
Atacama,03,314709,2020-08-02,865
Coquimbo,04,836096,2020-08-02,757
Valparaiso,05,1960170,2020-08-02,2193
Metropolitana,13,8125072,2020-08-02,9627
OHiggins,06,991063,2020-08-02,998
Maule,07,1131939,2020-08-02,1389
Nuble,16,511551,2020-08-02,580
Biobio,08,1663696,2020-08-02,1785
Araucania,09,1014343,2020-08-02,983
Los Rios,14,405835,2020-08-02,262
Los Lagos,10,891440,2020-08-02,2496
Aysen,11,107297,2020-08-02,151
Magallanes,12,178362,2020-08-02,671
Arica y Parinacota,15,252110,2020-08-03,546
Tarapaca,01,382773,2020-08-03,555
Antofagasta,02,691854,2020-08-03,1209
Atacama,03,314709,2020-08-03,1081
Coquimbo,04,836096,2020-08-03,876
Valparaiso,05,1960170,2020-08-03,1340
Metropolitana,13,8125072,2020-08-03,10415
OHiggins,06,991063,2020-08-03,1066
Maule,07,1131939,2020-08-03,1202
Nuble,16,511551,2020-08-03,532
Biobio,08,1663696,2020-08-03,2343
Araucania,09,1014343,2020-08-03,663
Los Rios,14,405835,2020-08-03,226
Los Lagos,10,891440,2020-08-03,1676
Aysen,11,107297,2020-08-03,62
Magallanes,12,178362,2020-08-03,477
Arica y Parinacota,15,252110,2020-08-04,387
Tarapaca,01,382773,2020-08-04,418
Antofagasta,02,691854,2020-08-04,1292
Atacama,03,314709,2020-08-04,189
Coquimbo,04,836096,2020-08-04,755
Valparaiso,05,1960170,2020-08-04,1392
Metropolitana,13,8125072,2020-08-04,8169
OHiggins,06,991063,2020-08-04,857
Maule,07,1131939,2020-08-04,1138
Nuble,16,511551,2020-08-04,354
Biobio,08,1663696,2020-08-04,1387
Araucania,09,1014343,2020-08-04,652
Los Rios,14,405835,2020-08-04,173
Los Lagos,10,891440,2020-08-04,1244
Aysen,11,107297,2020-08-04,21
Magallanes,12,178362,2020-08-04,429
Arica y Parinacota,15,252110,2020-08-05,490
Tarapaca,01,382773,2020-08-05,1515
Antofagasta,02,691854,2020-08-05,1424
Atacama,03,314709,2020-08-05,1371
Coquimbo,04,836096,2020-08-05,917
Valparaiso,05,1960170,2020-08-05,930
Metropolitana,13,8125072,2020-08-05,7727
OHiggins,06,991063,2020-08-05,648
Maule,07,1131939,2020-08-05,599
Nuble,16,511551,2020-08-05,484
Biobio,08,1663696,2020-08-05,1798
Araucania,09,1014343,2020-08-05,598
Los Rios,14,405835,2020-08-05,206
Los Lagos,10,891440,2020-08-05,2334
Aysen,11,107297,2020-08-05,151
Magallanes,12,178362,2020-08-05,206
Arica y Parinacota,15,252110,2020-08-06,497
Tarapaca,01,382773,2020-08-06,599
Antofagasta,02,691854,2020-08-06,1096
Atacama,03,314709,2020-08-06,534
Coquimbo,04,836096,2020-08-06,808
Valparaiso,05,1960170,2020-08-06,1718
Metropolitana,13,8125072,2020-08-06,8916
OHiggins,06,991063,2020-08-06,1105
Maule,07,1131939,2020-08-06,1369
Nuble,16,511551,2020-08-06,550
Biobio,08,1663696,2020-08-06,1867
Araucania,09,1014343,2020-08-06,659
Los Rios,14,405835,2020-08-06,330
Los Lagos,10,891440,2020-08-06,2245
Aysen,11,107297,2020-08-06,137
Magallanes,12,178362,2020-08-06,372
Arica y Parinacota,15,252110,2020-08-07,535
Tarapaca,01,382773,2020-08-07,659
Antofagasta,02,691854,2020-08-07,952
Atacama,03,314709,2020-08-07,689
Coquimbo,04,836096,2020-08-07,956
Valparaiso,05,1960170,2020-08-07,1629
Metropolitana,13,8125072,2020-08-07,9267
OHiggins,06,991063,2020-08-07,1272
Maule,07,1131939,2020-08-07,1525
Nuble,16,511551,2020-08-07,516
Biobio,08,1663696,2020-08-07,2719
Araucania,09,1014343,2020-08-07,1122
Los Rios,14,405835,2020-08-07,348
Los Lagos,10,891440,2020-08-07,2820
Aysen,11,107297,2020-08-07,141
Magallanes,12,178362,2020-08-07,93
Arica y Parinacota,15,252110,2020-08-08,623
Tarapaca,01,382773,2020-08-08,465
Antofagasta,02,691854,2020-08-08,1139
Atacama,03,314709,2020-08-08,334
Coquimbo,04,836096,2020-08-08,875
Valparaiso,05,1960170,2020-08-08,2230
Metropolitana,13,8125072,2020-08-08,10430
OHiggins,06,991063,2020-08-08,1335
Maule,07,1131939,2020-08-08,1783
Nuble,16,511551,2020-08-08,484
Biobio,08,1663696,2020-08-08,2299
Araucania,09,1014343,2020-08-08,1090
Los Rios,14,405835,2020-08-08,313
Los Lagos,10,891440,2020-08-08,2879
Aysen,11,107297,2020-08-08,146
Magallanes,12,178362,2020-08-08,612
Arica y Parinacota,15,252110,2020-08-09,747
Tarapaca,01,382773,2020-08-09,650
Antofagasta,02,691854,2020-08-09,1298
Atacama,03,314709,2020-08-09,605
Coquimbo,04,836096,2020-08-09,903
Valparaiso,05,1960170,2020-08-09,1961
Metropolitana,13,8125072,2020-08-09,10606
OHiggins,06,991063,2020-08-09,1317
Maule,07,1131939,2020-08-09,1647
Nuble,16,511551,2020-08-09,610
Biobio,08,1663696,2020-08-09,2942
Araucania,09,1014343,2020-08-09,737
Los Rios,14,405835,2020-08-09,335
Los Lagos,10,891440,2020-08-09,2973
Aysen,11,107297,2020-08-09,149
Magallanes,12,178362,2020-08-09,980
Arica y Parinacota,15,252110,2020-08-10,895
Tarapaca,01,382773,2020-08-10,474
Antofagasta,02,691854,2020-08-10,1745
Atacama,03,314709,2020-08-10,1361
Coquimbo,04,836096,2020-08-10,914
Valparaiso,05,1960170,2020-08-10,1980
Metropolitana,13,8125072,2020-08-10,9508
OHiggins,06,991063,2020-08-10,1404
Maule,07,1131939,2020-08-10,1482
Nuble,16,511551,2020-08-10,600
Biobio,08,1663696,2020-08-10,2128
Araucania,09,1014343,2020-08-10,950
Los Rios,14,405835,2020-08-10,213
Los Lagos,10,891440,2020-08-10,1752
Aysen,11,107297,2020-08-10,57
Magallanes,12,178362,2020-08-10,549
Arica y Parinacota,15,252110,2020-08-11,807
Tarapaca,01,382773,2020-08-11,716
Antofagasta,02,691854,2020-08-11,2053
Atacama,03,314709,2020-08-11,720
Coquimbo,04,836096,2020-08-11,785
Valparaiso,05,1960170,2020-08-11,1692
Metropolitana,13,8125072,2020-08-11,8587
OHiggins,06,991063,2020-08-11,1014
Maule,07,1131939,2020-08-11,1048
Nuble,16,511551,2020-08-11,508
Biobio,08,1663696,2020-08-11,1738
Araucania,09,1014343,2020-08-11,493
Los Rios,14,405835,2020-08-11,310
Los Lagos,10,891440,2020-08-11,1347
Aysen,11,107297,2020-08-11,17
Magallanes,12,178362,2020-08-11,414
Arica y Parinacota,15,252110,2020-08-12,452
Tarapaca,01,382773,2020-08-12,455
Antofagasta,02,691854,2020-08-12,1059
Atacama,03,314709,2020-08-12,724
Coquimbo,04,836096,2020-08-12,678
Valparaiso,05,1960170,2020-08-12,1471
Metropolitana,13,8125072,2020-08-12,7168
OHiggins,06,991063,2020-08-12,871
Maule,07,1131939,2020-08-12,1052
Nuble,16,511551,2020-08-12,401
Biobio,08,1663696,2020-08-12,1349
Araucania,09,1014343,2020-08-12,1208
Los Rios,14,405835,2020-08-12,225
Los Lagos,10,891440,2020-08-12,1990
Aysen,11,107297,2020-08-12,103
Magallanes,12,178362,2020-08-12,142
Arica y Parinacota,15,252110,2020-08-13,482
Tarapaca,01,382773,2020-08-13,637
Antofagasta,02,691854,2020-08-13,1000
Atacama,03,314709,2020-08-13,452
Coquimbo,04,836096,2020-08-13,902
Valparaiso,05,1960170,2020-08-13,1844
Metropolitana,13,8125072,2020-08-13,8680
OHiggins,06,991063,2020-08-13,1152
Maule,07,1131939,2020-08-13,1586
Nuble,16,511551,2020-08-13,505
Biobio,08,1663696,2020-08-13,2689
Araucania,09,1014343,2020-08-13,725
Los Rios,14,405835,2020-08-13,335
Los Lagos,10,891440,2020-08-13,2201
Aysen,11,107297,2020-08-13,97
Magallanes,12,178362,2020-08-13,341
Arica y Parinacota,15,252110,2020-08-14,480
Tarapaca,01,382773,2020-08-14,669
Antofagasta,02,691854,2020-08-14,1033
Atacama,03,314709,2020-08-14,639
Coquimbo,04,836096,2020-08-14,680
Valparaiso,05,1960170,2020-08-14,1941
Metropolitana,13,8125072,2020-08-14,11730
OHiggins,06,991063,2020-08-14,1219
Maule,07,1131939,2020-08-14,1528
Nuble,16,511551,2020-08-14,590
Biobio,08,1663696,2020-08-14,2480
Araucania,09,1014343,2020-08-14,845
Los Rios,14,405835,2020-08-14,367
Los Lagos,10,891440,2020-08-14,2753
Aysen,11,107297,2020-08-14,176
Magallanes,12,178362,2020-08-14,488
Arica y Parinacota,15,252110,2020-08-15,718
Tarapaca,01,382773,2020-08-15,559
Antofagasta,02,691854,2020-08-15,1006
Atacama,03,314709,2020-08-15,801
Coquimbo,04,836096,2020-08-15,1299
Valparaiso,05,1960170,2020-08-15,2364
Metropolitana,13,8125072,2020-08-15,10335
OHiggins,06,991063,2020-08-15,1237
Maule,07,1131939,2020-08-15,1900
Nuble,16,511551,2020-08-15,435
Biobio,08,1663696,2020-08-15,2695
Araucania,09,1014343,2020-08-15,1096
Los Rios,14,405835,2020-08-15,354
Los Lagos,10,891440,2020-08-15,3020
Aysen,11,107297,2020-08-15,123
Magallanes,12,178362,2020-08-15,557
Arica y Parinacota,15,252110,2020-08-16,547
Tarapaca,01,382773,2020-08-16,687
Antofagasta,02,691854,2020-08-16,1086
Atacama,03,314709,2020-08-16,784
Coquimbo,04,836096,2020-08-16,1068
Valparaiso,05,1960170,2020-08-16,3034
Metropolitana,13,8125072,2020-08-16,10984
OHiggins,06,991063,2020-08-16,1687
Maule,07,1131939,2020-08-16,1700
Nuble,16,511551,2020-08-16,650
Biobio,08,1663696,2020-08-16,3287
Araucania,09,1014343,2020-08-16,860
Los Rios,14,405835,2020-08-16,302
Los Lagos,10,891440,2020-08-16,3175
Aysen,11,107297,2020-08-16,150
Magallanes,12,178362,2020-08-16,881
Arica y Parinacota,15,252110,2020-08-17,755
Tarapaca,01,382773,2020-08-17,748
Antofagasta,02,691854,2020-08-17,910
Atacama,03,314709,2020-08-17,734
Coquimbo,04,836096,2020-08-17,778
Valparaiso,05,1960170,2020-08-17,2274
Metropolitana,13,8125072,2020-08-17,10405
OHiggins,06,991063,2020-08-17,1024
Maule,07,1131939,2020-08-17,1213
Nuble,16,511551,2020-08-17,539
Biobio,08,1663696,2020-08-17,2665
Araucania,09,1014343,2020-08-17,916
Los Rios,14,405835,2020-08-17,230
Los Lagos,10,891440,2020-08-17,1496
Aysen,11,107297,2020-08-17,59
Magallanes,12,178362,2020-08-17,543
Arica y Parinacota,15,252110,2020-08-18,473
Tarapaca,01,382773,2020-08-18,532
Antofagasta,02,691854,2020-08-18,2261
Atacama,03,314709,2020-08-18,874
Coquimbo,04,836096,2020-08-18,812
Valparaiso,05,1960170,2020-08-18,1884
Metropolitana,13,8125072,2020-08-18,8307
OHiggins,06,991063,2020-08-18,1026
Maule,07,1131939,2020-08-18,1720
Nuble,16,511551,2020-08-18,572
Biobio,08,1663696,2020-08-18,1634
Araucania,09,1014343,2020-08-18,703
Los Rios,14,405835,2020-08-18,204
Los Lagos,10,891440,2020-08-18,1736
Aysen,11,107297,2020-08-18,30
Magallanes,12,178362,2020-08-18,431
Arica y Parinacota,15,252110,2020-08-19,213
Tarapaca,01,382773,2020-08-19,292
Antofagasta,02,691854,2020-08-19,1162
Atacama,03,314709,2020-08-19,566
Coquimbo,04,836096,2020-08-19,626
Valparaiso,05,1960170,2020-08-19,2252
Metropolitana,13,8125072,2020-08-19,6376
OHiggins,06,991063,2020-08-19,865
Maule,07,1131939,2020-08-19,1548
Nuble,16,511551,2020-08-19,302
Biobio,08,1663696,2020-08-19,1633
Araucania,09,1014343,2020-08-19,995
Los Rios,14,405835,2020-08-19,231
Los Lagos,10,891440,2020-08-19,1876
Aysen,11,107297,2020-08-19,158
Magallanes,12,178362,2020-08-19,180
Arica y Parinacota,15,252110,2020-08-20,622
Tarapaca,01,382773,2020-08-20,481
Antofagasta,02,691854,2020-08-20,907
Atacama,03,314709,2020-08-20,416
Coquimbo,04,836096,2020-08-20,709
Valparaiso,05,1960170,2020-08-20,2614
Metropolitana,13,8125072,2020-08-20,9347
OHiggins,06,991063,2020-08-20,1158
Maule,07,1131939,2020-08-20,2208
Nuble,16,511551,2020-08-20,686
Biobio,08,1663696,2020-08-20,2893
Araucania,09,1014343,2020-08-20,903
Los Rios,14,405835,2020-08-20,415
Los Lagos,10,891440,2020-08-20,2406
Aysen,11,107297,2020-08-20,82
Magallanes,12,178362,2020-08-20,431
Arica y Parinacota,15,252110,2020-08-21,560
Tarapaca,01,382773,2020-08-21,645
Antofagasta,02,691854,2020-08-21,925
Atacama,03,314709,2020-08-21,692
Coquimbo,04,836096,2020-08-21,716
Valparaiso,05,1960170,2020-08-21,2886
Metropolitana,13,8125072,2020-08-21,10534
OHiggins,06,991063,2020-08-21,1228
Maule,07,1131939,2020-08-21,1588
Nuble,16,511551,2020-08-21,638
Biobio,08,1663696,2020-08-21,3142
Araucania,09,1014343,2020-08-21,896
Los Rios,14,405835,2020-08-21,384
Los Lagos,10,891440,2020-08-21,3023
Aysen,11,107297,2020-08-21,153
Magallanes,12,178362,2020-08-21,659
Arica y Parinacota,15,252110,2020-08-22,581
Tarapaca,01,382773,2020-08-22,612
Antofagasta,02,691854,2020-08-22,1000
Atacama,03,314709,2020-08-22,762
Coquimbo,04,836096,2020-08-22,1044
Valparaiso,05,1960170,2020-08-22,2782
Metropolitana,13,8125072,2020-08-22,11483
OHiggins,06,991063,2020-08-22,1414
Maule,07,1131939,2020-08-22,1945
Nuble,16,511551,2020-08-22,682
Biobio,08,1663696,2020-08-22,2751
Araucania,09,1014343,2020-08-22,892
Los Rios,14,405835,2020-08-22,377
Los Lagos,10,891440,2020-08-22,2864
Aysen,11,107297,2020-08-22,134
Magallanes,12,178362,2020-08-22,404
Arica y Parinacota,15,252110,2020-08-23,668
Tarapaca,01,382773,2020-08-23,742
Antofagasta,02,691854,2020-08-23,1184
Atacama,03,314709,2020-08-23,757
Coquimbo,04,836096,2020-08-23,1249
Valparaiso,05,1960170,2020-08-23,2972
Metropolitana,13,8125072,2020-08-23,11671
OHiggins,06,991063,2020-08-23,1614
Maule,07,1131939,2020-08-23,1860
Nuble,16,511551,2020-08-23,457
Biobio,08,1663696,2020-08-23,3080
Araucania,09,1014343,2020-08-23,1022
Los Rios,14,405835,2020-08-23,277
Los Lagos,10,891440,2020-08-23,3557
Aysen,11,107297,2020-08-23,231
Magallanes,12,178362,2020-08-23,640
Arica y Parinacota,15,252110,2020-08-24,628
Tarapaca,01,382773,2020-08-24,850
Antofagasta,02,691854,2020-08-24,1176
Atacama,03,314709,2020-08-24,807
Coquimbo,04,836096,2020-08-24,950
Valparaiso,05,1960170,2020-08-24,2859
Metropolitana,13,8125072,2020-08-24,10206
OHiggins,06,991063,2020-08-24,1537
Maule,07,1131939,2020-08-24,1576
Nuble,16,511551,2020-08-24,595
Biobio,08,1663696,2020-08-24,2728
Araucania,09,1014343,2020-08-24,753
Los Rios,14,405835,2020-08-24,348
Los Lagos,10,891440,2020-08-24,1549
Aysen,11,107297,2020-08-24,185
Magallanes,12,178362,2020-08-24,707
Arica y Parinacota,15,252110,2020-08-25,613
Tarapaca,01,382773,2020-08-25,517
Antofagasta,02,691854,2020-08-25,2625
Atacama,03,314709,2020-08-25,607
Coquimbo,04,836096,2020-08-25,1008
Valparaiso,05,1960170,2020-08-25,2337
Metropolitana,13,8125072,2020-08-25,9031
OHiggins,06,991063,2020-08-25,1218
Maule,07,1131939,2020-08-25,1146
Nuble,16,511551,2020-08-25,436
Biobio,08,1663696,2020-08-25,1689
Araucania,09,1014343,2020-08-25,910
Los Rios,14,405835,2020-08-25,281
Los Lagos,10,891440,2020-08-25,1427
Aysen,11,107297,2020-08-25,29
Magallanes,12,178362,2020-08-25,629
Arica y Parinacota,15,252110,2020-08-26,226
Tarapaca,01,382773,2020-08-26,517
Antofagasta,02,691854,2020-08-26,1337
Atacama,03,314709,2020-08-26,403
Coquimbo,04,836096,2020-08-26,765
Valparaiso,05,1960170,2020-08-26,2171
Metropolitana,13,8125072,2020-08-26,6983
OHiggins,06,991063,2020-08-26,841
Maule,07,1131939,2020-08-26,1527
Nuble,16,511551,2020-08-26,556
Biobio,08,1663696,2020-08-26,1596
Araucania,09,1014343,2020-08-26,836
Los Rios,14,405835,2020-08-26,364
Los Lagos,10,891440,2020-08-26,1753
Aysen,11,107297,2020-08-26,107
Magallanes,12,178362,2020-08-26,275
Arica y Parinacota,15,252110,2020-08-27,404
Tarapaca,01,382773,2020-08-27,593
Antofagasta,02,691854,2020-08-27,1513
Atacama,03,314709,2020-08-27,304
Coquimbo,04,836096,2020-08-27,1258
Valparaiso,05,1960170,2020-08-27,2076
Metropolitana,13,8125072,2020-08-27,10147
OHiggins,06,991063,2020-08-27,1053
Maule,07,1131939,2020-08-27,1611
Nuble,16,511551,2020-08-27,482
Biobio,08,1663696,2020-08-27,3311
Araucania,09,1014343,2020-08-27,835
Los Rios,14,405835,2020-08-27,367
Los Lagos,10,891440,2020-08-27,2284
Aysen,11,107297,2020-08-27,150
Magallanes,12,178362,2020-08-27,631
Arica y Parinacota,15,252110,2020-08-28,519
Tarapaca,01,382773,2020-08-28,578
Antofagasta,02,691854,2020-08-28,865
Atacama,03,314709,2020-08-28,597
Coquimbo,04,836096,2020-08-28,1202
Valparaiso,05,1960170,2020-08-28,3096
Metropolitana,13,8125072,2020-08-28,11225
OHiggins,06,991063,2020-08-28,1718
Maule,07,1131939,2020-08-28,1610
Nuble,16,511551,2020-08-28,947
Biobio,08,1663696,2020-08-28,3155
Araucania,09,1014343,2020-08-28,920
Los Rios,14,405835,2020-08-28,522
Los Lagos,10,891440,2020-08-28,2726
Aysen,11,107297,2020-08-28,98
Magallanes,12,178362,2020-08-28,496
Arica y Parinacota,15,252110,2020-08-29,647
Tarapaca,01,382773,2020-08-29,719
Antofagasta,02,691854,2020-08-29,985
Atacama,03,314709,2020-08-29,429
Coquimbo,04,836096,2020-08-29,1015
Valparaiso,05,1960170,2020-08-29,3741
Metropolitana,13,8125072,2020-08-29,11743
OHiggins,06,991063,2020-08-29,1374
Maule,07,1131939,2020-08-29,1996
Nuble,16,511551,2020-08-29,849
Biobio,08,1663696,2020-08-29,3301
Araucania,09,1014343,2020-08-29,1000
Los Rios,14,405835,2020-08-29,409
Los Lagos,10,891440,2020-08-29,3304
Aysen,11,107297,2020-08-29,157
Magallanes,12,178362,2020-08-29,568
Arica y Parinacota,15,252110,2020-08-30,498
Tarapaca,01,382773,2020-08-30,808
Antofagasta,02,691854,2020-08-30,1361
Atacama,03,314709,2020-08-30,635
Coquimbo,04,836096,2020-08-30,857
Valparaiso,05,1960170,2020-08-30,3953
Metropolitana,13,8125072,2020-08-30,13744
OHiggins,06,991063,2020-08-30,1584
Maule,07,1131939,2020-08-30,1975
Nuble,16,511551,2020-08-30,700
Biobio,08,1663696,2020-08-30,2872
Araucania,09,1014343,2020-08-30,924
Los Rios,14,405835,2020-08-30,305
Los Lagos,10,891440,2020-08-30,3399
Aysen,11,107297,2020-08-30,198
Magallanes,12,178362,2020-08-30,956
Arica y Parinacota,15,252110,2020-08-31,811
Tarapaca,01,382773,2020-08-31,976
Antofagasta,02,691854,2020-08-31,1624
Atacama,03,314709,2020-08-31,512
Coquimbo,04,836096,2020-08-31,1256
Valparaiso,05,1960170,2020-08-31,3563
Metropolitana,13,8125072,2020-08-31,11959
OHiggins,06,991063,2020-08-31,1532
Maule,07,1131939,2020-08-31,1344
Nuble,16,511551,2020-08-31,790
Biobio,08,1663696,2020-08-31,3125
Araucania,09,1014343,2020-08-31,776
Los Rios,14,405835,2020-08-31,329
Los Lagos,10,891440,2020-08-31,2536
Aysen,11,107297,2020-08-31,126
Magallanes,12,178362,2020-08-31,655
Arica y Parinacota,15,252110,2020-09-01,801
Tarapaca,01,382773,2020-09-01,442
Antofagasta,02,691854,2020-09-01,3184
Atacama,03,314709,2020-09-01,596
Coquimbo,04,836096,2020-09-01,827
Valparaiso,05,1960170,2020-09-01,2830
Metropolitana,13,8125072,2020-09-01,9382
OHiggins,06,991063,2020-09-01,1234
