Region,Codigo region,Poblacion,fecha,numero
Maule,07,1131939,2020-04-17,367
Nuble,16,511551,2020-04-17,159
Biobio,08,1663696,2020-04-17,80
Araucania,09,1014343,2020-04-17,220
Los Rios,14,405835,2020-04-17,71
Los Lagos,10,891440,2020-04-17,198
Aysen,11,107297,2020-04-17,8
Magallanes,12,178362,2020-04-17,69
Arica y Parinacota,15,252110,2020-04-18,
Tarapaca,01,382773,2020-04-18,60
Antofagasta,02,691854,2020-04-18,200
Atacama,03,314709,2020-04-18,50
Coquimbo,04,836096,2020-04-18,
Valparaiso,05,1960170,2020-04-18,330
Metropolitana,13,8125072,2020-04-18,2744
OHiggins,06,991063,2020-04-18,
Maule,07,1131939,2020-04-18,176
Nuble,16,511551,2020-04-18,76
Biobio,08,1663696,2020-04-18,751
Araucania,09,1014343,2020-04-18,169
Los Rios,14,405835,2020-04-18,91
Los Lagos,10,891440,2020-04-18,315
Aysen,11,107297,2020-04-18,8
Magallanes,12,178362,2020-04-18,48
Arica y Parinacota,15,252110,2020-04-19,155
Tarapaca,01,382773,2020-04-19,0
Antofagasta,02,691854,2020-04-19,129
Atacama,03,314709,2020-04-19,31
Coquimbo,04,836096,2020-04-19,
Valparaiso,05,1960170,2020-04-19,166
Metropolitana,13,8125072,2020-04-19,3475
OHiggins,06,991063,2020-04-19,0
Maule,07,1131939,2020-04-19,0
Nuble,16,511551,2020-04-19,127
Biobio,08,1663696,2020-04-19,358
Araucania,09,1014343,2020-04-19,122
Los Rios,14,405835,2020-04-19,0
Los Lagos,10,891440,2020-04-19,96
Aysen,11,107297,2020-04-19,6
Magallanes,12,178362,2020-04-19,93
Arica y Parinacota,15,252110,2020-04-20,48
Tarapaca,01,382773,2020-04-20,0
Antofagasta,02,691854,2020-04-20,197
Atacama,03,314709,2020-04-20,33
Coquimbo,04,836096,2020-04-20,
Valparaiso,05,1960170,2020-04-20,177
Metropolitana,13,8125072,2020-04-20,3276
OHiggins,06,991063,2020-04-20,72
Maule,07,1131939,2020-04-20,328
Nuble,16,511551,2020-04-20,149
Biobio,08,1663696,2020-04-20,214
Araucania,09,1014343,2020-04-20,376
Los Rios,14,405835,2020-04-20,121
Los Lagos,10,891440,2020-04-20,139
Aysen,11,107297,2020-04-20,0
Magallanes,12,178362,2020-04-20,48
Arica y Parinacota,15,252110,2020-04-21,52
Tarapaca,01,382773,2020-04-21,30
Antofagasta,02,691854,2020-04-21,147
Atacama,03,314709,2020-04-21,33
Coquimbo,04,836096,2020-04-21,
Valparaiso,05,1960170,2020-04-21,142
Metropolitana,13,8125072,2020-04-21,2126
OHiggins,06,991063,2020-04-21,65
Maule,07,1131939,2020-04-21,188
Nuble,16,511551,2020-04-21,73
Biobio,08,1663696,2020-04-21,216
Araucania,09,1014343,2020-04-21,206
Los Rios,14,405835,2020-04-21,58
Los Lagos,10,891440,2020-04-21,149
Aysen,11,107297,2020-04-21,4
Magallanes,12,178362,2020-04-21,41
Arica y Parinacota,15,252110,2020-04-22,0
Tarapaca,01,382773,2020-04-22,59
Antofagasta,02,691854,2020-04-22,152
Atacama,03,314709,2020-04-22,47
Coquimbo,04,836096,2020-04-22,29
Valparaiso,05,1960170,2020-04-22,384
Metropolitana,13,8125072,2020-04-22,3917
OHiggins,06,991063,2020-04-22,0
Maule,07,1131939,2020-04-22,724
Nuble,16,511551,2020-04-22,221
Biobio,08,1663696,2020-04-22,340
Araucania,09,1014343,2020-04-22,176
Los Rios,14,405835,2020-04-22,54
Los Lagos,10,891440,2020-04-22,209
Aysen,11,107297,2020-04-22,4
Magallanes,12,178362,2020-04-22,49
Arica y Parinacota,15,252110,2020-04-23,169
Tarapaca,01,382773,2020-04-23,30
Antofagasta,02,691854,2020-04-23,146
Atacama,03,314709,2020-04-23,57
Coquimbo,04,836096,2020-04-23,22
Valparaiso,05,1960170,2020-04-23,90
Metropolitana,13,8125072,2020-04-23,3712
OHiggins,06,991063,2020-04-23,86
Maule,07,1131939,2020-04-23,663
Nuble,16,511551,2020-04-23,189
Biobio,08,1663696,2020-04-23,468
Araucania,09,1014343,2020-04-23,370
Los Rios,14,405835,2020-04-23,67
Los Lagos,10,891440,2020-04-23,335
Aysen,11,107297,2020-04-23,21
Magallanes,12,178362,2020-04-23,0
Arica y Parinacota,15,252110,2020-04-24,85
Tarapaca,01,382773,2020-04-24,203
Antofagasta,02,691854,2020-04-24,166
Atacama,03,314709,2020-04-24,77
Coquimbo,04,836096,2020-04-24,44
Valparaiso,05,1960170,2020-04-24,293
Metropolitana,13,8125072,2020-04-24,4376
OHiggins,06,991063,2020-04-24,72
